Age,Fare,Pclass,Sex,Embarked,Survived
30,9.33,2,male,C,0
63,178.18,3,male,C,1
52,54.69,3,female,C,0
78,194.56,2,female,Q,0
23,229.01,3,female,S,1
35,152.63,3,female,C,0
68,165.0,2,female,S,1
22,285.69,2,male,S,0
64,254.91,3,male,Q,1
42,274.7,3,female,C,1
19,245.06,3,female,S,1
27,37.13,2,male,C,0
73,48.95,3,male,C,1
47,160.35,1,male,Q,1
67,77.59,1,male,C,1
76,145.63,3,female,C,0
62,121.34,2,male,S,1
22,167.08,2,female,Q,1
72,225.33,2,male,C,0
73,216.07,2,male,S,0
50,158.76,1,male,Q,1
71,247.61,3,female,Q,0
18,132.1,2,female,S,1
35,269.53,3,male,S,1
49,26.03,3,female,S,1
64,286.62,3,female,S,0
66,198.13,1,male,S,0
